Compound_ID,MW,LogP,HBD,HBA,Predicted_dG,Lipinski_Violations,Drug_Like,Binding_Category
VL_0023,406.7528204687924,2.9634681116085257,1,5,-7.5195322278554775,0,True,Moderate
VL_0024,257.52518137865434,6.2134055379177955,2,4,-7.547867357725608,1,True,Moderate
VL_0025,345.5617275474817,5.591314755151068,0,5,-7.014161881535134,1,True,Moderate
VL_0026,411.0922589709866,3.6544855045110483,1,4,-7.389283394522144,0,True,Moderate
VL_0027,284.90064225776973,3.0570052172523003,4,7,-8.182145613858365,0,True,Moderate
VL_0028,437.5698018345672,3.180046990077392,3,5,-8.748211753968247,0,True,Moderate
VL_0029,339.9361310081195,3.920276959095625,2,6,-7.954968127566881,0,True,Moderate
VL_0030,370.8306250206723,1.4658111522023916,2,5,-7.995523525613279,0,True,Moderate
VL_0031,339.8293387770603,2.6139351938649824,1,2,-6.876086858807866,0,True,Weak
VL_0032,585.2278184508938,0.49712388918361583,5,4,-9.185736666666655,1,True,Strong
VL_0033,398.6502775262066,3.598834683907919,0,4,-7.373621333916085,0,True,Moderate
VL_0034,294.22890710441,3.9707939095541116,2,6,-7.92137005613831,0,True,Moderate
VL_0035,482.2544912103189,2.275220306550939,3,11,-8.26605746825396,1,True,Moderate
VL_0036,277.9156350028978,5.360980144935049,1,6,-7.313111917249416,1,True,Moderate
VL_0037,420.8863595004755,1.161351505496488,2,8,-7.857400376984128,0,True,Moderate
VL_0038,204.03298761202245,0.8034376796852696,4,5,-6.526777333333335,0,True,Weak
VL_0039,267.1813951101569,3.336677727839958,3,3,-7.487093927350433,0,True,Moderate
VL_0040,419.68612358691234,4.570647453918232,2,5,-7.953805411477411,0,True,Moderate
VL_0041,473.84665799954104,5.525891537186803,1,1,-8.3468900108225,1,True,Moderate
VL_0042,417.1368281189971,2.31167360569659,3,8,-7.871093026556777,0,True,Moderate
VL_0043,388.4351717611759,4.618021250146944,2,6,-8.108615909312912,0,True,Moderate
VL_0044,369.8896304410711,2.942237295748939,1,4,-7.388620452963705,0,True,Moderate
VL_0045,252.14780096325725,2.7410590500887704,0,7,-6.888921544233544,0,True,Weak
VL_0046,328.0155791605291,4.3254899062300085,0,1,-6.991306132617386,0,True,Weak
VL_0047,353.93612290402126,3.978484317620129,2,7,-7.739260095820851,0,True,Moderate
VL_0048,505.71222262189156,0.6354117645236261,0,3,-8.891005904761895,1,True,Moderate
VL_0049,434.3618289568461,5.214810524588843,1,9,-8.259939260517251,1,True,Moderate
VL_0050,223.6959844637266,5.0701370312211775,0,4,-6.699270480741477,1,True,Weak
VL_0051,432.40839693947953,2.061655947735706,0,2,-8.119317613997104,0,True,Moderate
VL_0052,361.49177195836836,3.5937053001561137,2,4,-7.616169413281167,0,True,Moderate
VL_0053,332.30779996940413,3.7410452794241085,2,6,-7.911457389471641,0,True,Moderate
VL_0054,461.1676288840868,3.3910106487358607,4,2,-8.604079984126978,0,True,Moderate
VL_0055,503.0999522495951,2.17454226923187,4,1,-8.960170222222215,1,True,Moderate
VL_0056,493.12801191161986,1.9925649480929226,0,7,-8.40343148701298,0,True,Moderate
VL_0057,316.07824767773616,2.961668893512832,2,7,-7.961301214868467,0,True,Moderate
VL_0058,369.07876241487855,4.759093528889047,1,6,-7.526921544233545,0,True,Moderate
VL_0059,433.1263431403564,3.8154002318916485,2,8,-8.578902222222217,0,True,Moderate
VL_0060,497.5545127122359,2.444078501870841,1,7,-9.06321972510822,0,True,Strong
VL_0061,352.082576215471,4.157548065972517,0,5,-7.232257048201801,0,True,Moderate
VL_0062,381.4341023336183,-1.2728139309451132,4,6,-8.28961492460318,0,True,Moderate
VL_0063,289.36650259939717,4.723148550558156,4,6,-8.240613760683765,0,True,Moderate
VL_0064,280.37933759193294,0.39042933183285067,1,7,-7.6039695266955345,0,True,Moderate
VL_0065,481.2525822394198,2.456338587895302,1,6,-8.388550106060597,0,True,Moderate
VL_0066,535.6240028570824,1.3204951580607842,3,3,-9.28976016666666,1,True,Strong
VL_0067,392.7989878419666,1.0579777864186415,6,3,-7.4420550079365135,1,True,Moderate
VL_0068,500.35328978920245,4.741240181067779,1,1,-9.60235707431457,1,True,Strong
VL_0069,436.1636025047634,2.2984481980321627,1,5,-8.403669661616151,0,True,Moderate
VL_0070,335.4880245394876,3.519755822596074,3,3,-7.4637586654456705,0,True,Moderate
VL_0071,436.1395605508414,2.929619131681224,3,9,-8.575752575091569,0,True,Moderate
VL_0072,553.8036566465969,3.715561240834682,1,8,-10.416977428571427,1,True,Strong
VL_0073,396.41739608900485,3.115232836590383,2,4,-7.942506175185925,0,True,Moderate
VL_0074,556.4643655814007,1.0755116637171456,2,2,-9.226609999999992,1,True,Strong
VL_0075,150.0,4.49440022917071,1,3,-5.102916000000008,0,True,Weak
VL_0076,482.19025043752237,2.2593651252580313,2,2,-8.410215222222213,0,True,Moderate
VL_0077,408.7047068238171,0.6651271520103732,2,4,-7.8294446944444465,0,True,Moderate
VL_0078,370.09926495341324,2.357827258551131,2,4,-7.794850675185928,0,True,Moderate
VL_0079,409.17607765355024,5.2511396859514665,2,5,-7.929585411477412,1,True,Moderate
VL_0080,201.2431085399107,4.27533261317024,2,8,-6.5800926077256054,0,True,Weak
VL_0081,378.03281121624883,2.4770217983882112,1,6,-7.693087952963704,0,True,Moderate
VL_0082,435.71125715117466,2.476113443522357,1,3,-8.299677542568531,0,True,Moderate
VL_0083,547.7894044741516,2.517547423173926,5,5,-9.929783333333328,1,True,Strong
VL_0084,348.1729781726353,6.115121975341261,3,6,-7.616417534493287,1,True,Moderate
VL_0085,319.1506397106812,3.57290317834733,3,3,-7.484853927350431,0,True,Moderate
VL_0086,349.8242956415463,3.6450624707866046,1,8,-7.2930463815351345,0,True,Moderate
VL_0087,491.5402117702074,4.545425181047763,2,8,-8.822709515873012,0,True,Moderate
VL_0088,432.8751109659685,3.35818373853977,7,5,-8.775168150793645,1,True,Moderate
VL_0089,347.0239796232961,2.6114367812689454,2,4,-7.562464389471644,0,True,Moderate
VL_0090,451.32674331133563,2.7054752263725326,2,2,-8.552104111111102,0,True,Moderate
VL_0091,409.70775493480403,2.8925981108789043,3,6,-8.139937344017092,0,True,Moderate
VL_0092,496.8644990532889,2.9441666452352377,0,5,-9.47530101082251,0,True,Strong
VL_0093,329.79469061226473,4.09144431545547,2,6,-7.901457389471642,0,True,Moderate
VL_0094,367.23378534022316,3.077918828710949,2,7,-7.880156143439896,0,True,Moderate
VL_0095,360.7891846867842,4.098960115823369,2,3,-7.10909178449329,0,True,Moderate
VL_0096,253.64850518678816,2.8789251298371266,1,9,-7.3144755918525926,0,True,Moderate
VL_0097,429.6120277064576,3.117952785474136,2,2,-8.445538649572642,0,True,Moderate
VL_0098,426.10552721798894,0.0026989732018387613,1,0,-7.056105444444446,0,True,Moderate
VL_0099,400.5113456642461,4.374491512053722,2,6,-8.077451270424021,0,True,Moderate
VL_0100,376.54128666248533,3.519732713846989,2,4,-7.950018651376403,0,True,Moderate
VL_0101,258.46292579495855,4.497015164789478,5,6,-8.11592578846154,0,True,Moderate
VL_0102,357.9354677234641,-1.3443830672905337,2,4,-7.560715573232332,0,True,Moderate
VL_0103,365.72854834732306,6.132562057171091,2,5,-7.672241294233543,1,True,Moderate
VL_0104,319.7722730778381,2.7906155577672394,1,2,-6.98950146595072,0,True,Weak
VL_0105,383.8714288333991,4.662274225106275,1,5,-7.583932210900212,0,True,Moderate
VL_0106,440.40508568145384,1.4401411093117038,0,4,-8.3812485079365,0,True,Moderate
VL_0107,588.618590121053,3.9191608575938544,0,3,-10.494079642857137,1,True,Strong
VL_0108,417.4577812831839,1.419876655239516,2,5,-7.988754694444445,0,True,Moderate
VL_0109,425.7550390722764,2.0643465589562924,4,3,-7.501357240842494,0,True,Moderate
VL_0110,392.55540842338326,5.871047030800179,2,3,-7.358051748779002,1,True,Moderate
VL_0111,208.12287847009586,2.71397639885498,5,4,-6.724359467032961,0,True,Weak
VL_0112,397.3486124550783,3.3261493097695842,1,8,-7.489494286297039,0,True,Moderate
VL_0113,406.02302099410264,4.305101596033131,1,5,-7.489311346903097,0,True,Moderate
VL_0114,646.3242112485286,3.743522831958907,2,4,-10.655393095238091,1,True,Strong
VL_0115,380.76390352188776,3.225628357715365,0,4,-7.430648333916085,0,True,Moderate
VL_0116,430.15473423336124,3.5474415036993383,0,4,-8.17352381515706,0,True,Moderate
VL_0117,396.5288230294757,6.605123377857413,4,4,-7.804182074175824,1,True,Moderate
VL_0118,283.1321962380468,2.9135718044496217,3,7,-8.188107836080588,0,True,Moderate
VL_0119,514.2822814515021,3.301648570072451,1,8,-9.384344238095238,1,True,Strong
VL_0120,475.1933032686774,4.575981594011418,2,7,-8.535944952380946,0,True,Moderate
VL_0121,479.10319470430466,4.658288899436975,0,3,-8.37568567748917,0,True,Moderate
VL_0122,309.0612545205261,4.78054545834057,0,6,-7.448872532328786,0,True,Moderate
VL_0123,540.2794310936099,3.9580953330437767,1,6,-10.64168821428571,1,True,Strong
VL_0124,259.8148937207719,1.2854926309042747,2,4,-7.866164878787887,0,True,Moderate
VL_0125,458.68570938002705,5.450147298451644,2,6,-8.62488031746031,1,True,Moderate
VL_0126,619.0455625809979,1.280481910471968,1,9,-9.133037666666658,1,True,Strong
VL_0127,300.9463674869312,3.45395319785855,0,6,-7.414840607725609,0,True,Moderate
VL_0128,343.3702270397228,1.868586224970963,3,4,-7.818939555555563,0,True,Moderate
VL_0129,409.96513650876415,2.903792480110511,3,6,-8.144837344017093,0,True,Moderate
VL_0130,349.65243458838006,3.4931436154552205,3,7,-7.915433050366304,0,True,Moderate
VL_0131,244.93365689338674,3.4820358231754094,5,4,-7.6114876495726485,0,True,Moderate
VL_0132,406.85629748060273,3.632881131352927,2,3,-7.499865903540906,0,True,Moderate
VL_0133,293.7696286273895,5.420566903587971,2,4,-7.734616413281163,1,True,Moderate
VL_0134,447.35924306351814,3.6803014522709696,3,5,-8.824800087301579,0,True,Moderate
VL_0135,308.0575765766197,2.633765047064027,2,3,-7.286443189255194,0,True,Moderate
VL_0136,554.993440501754,4.446130752432536,2,5,-10.378642182539682,1,True,Strong
VL_0137,321.67467076637627,4.784205733386961,2,3,-7.370417018620274,0,True,Moderate
VL_0138,367.79384837943246,1.1585882772945113,6,5,-8.149541924603177,1,True,Moderate
VL_0139,481.35172173696697,3.896100104774787,4,5,-8.80685048412698,0,True,Moderate
VL_0140,276.91356835660446,4.051759113466348,1,5,-7.406354226773228,0,True,Moderate
VL_0141,422.74599346041293,2.553654744960012,6,6,-8.181790407509157,1,True,Moderate
VL_0142,530.7142754282428,5.063560219967429,1,6,-9.969355492063489,2,False,Strong
VL_0143,239.25167654387724,2.77491661945121,3,6,-7.719684792429791,0,True,Moderate
VL_0144,418.4633858532304,3.1883646802073136,1,5,-7.496098061188809,0,True,Moderate
VL_0145,425.98827942484235,2.7403922635741957,3,7,-7.945994693223444,0,True,Moderate
VL_0146,478.18228717773104,3.023368571372201,4,3,-8.637306341269836,0,True,Moderate
VL_0147,276.3049289121918,1.3555873696571972,3,5,-8.279343527777787,0,True,Moderate
VL_0148,267.9543386915724,0.8399236761085582,3,7,-8.153436496031754,0,True,Moderate
VL_0149,452.19415656168974,5.3917575948374585,2,2,-8.538838817460308,1,True,Moderate
VL_0150,429.6984673233186,1.7295579775225083,4,8,-8.464297357142847,0,True,Moderate
VL_0151,425.0492850345877,1.5129114758155393,4,4,-7.962715119047621,0,True,Moderate
VL_0152,434.6448209496976,-0.2300851704055722,1,2,-8.205654674603167,0,True,Moderate
VL_0153,331.99752784215093,2.041557378465747,2,5,-7.9148709013764025,0,True,Moderate
VL_0154,423.2253697161004,1.0153653098887525,2,5,-7.969544694444446,0,True,Moderate
VL_0155,429.3072473298681,5.463022740204554,2,4,-8.44761235592185,1,True,Moderate
VL_0156,328.5648581973632,4.514725634013951,2,6,-7.949645980741484,0,True,Moderate
VL_0157,586.5774511144757,1.9677744822334144,2,8,-9.139899857142847,1,True,Strong
VL_0158,447.38329209117876,6.378653708016463,4,4,-8.663302119047609,1,True,Moderate
VL_0159,280.86965027973514,4.472648230487391,1,3,-7.078775057220561,0,True,Moderate
VL_0160,465.65536086338295,2.5127529247370664,1,6,-8.402670106060597,0,True,Moderate
VL_0161,302.53183297726787,-0.7491085723103597,1,4,-7.593339193362202,0,True,Moderate
VL_0162,478.7084603742452,6.436413858886112,2,2,-8.528927452380943,1,True,Moderate
VL_0163,515.8595579007404,0.915641299854606,1,3,-8.866565904761895,1,True,Moderate
VL_0164,317.93176816482895,0.5319018795646624,1,1,-6.913814480158738,0,True,Weak
VL_0165,496.33761292443216,4.533855648014461,3,9,-9.141724936202683,0,True,Strong
VL_0166,441.27809269364985,6.659628609508909,2,5,-8.610215285714276,1,True,Moderate
VL_0167,482.206015999449,5.076409227765778,1,3,-8.400821677489168,1,True,Moderate
VL_0168,589.6792982653948,3.8458636800785393,1,4,-10.649789761904758,1,True,Strong
VL_0169,375.46118839971297,3.892131512497929,3,3,-7.589300022588526,0,True,Moderate
VL_0170,324.62638356425106,4.280123338170462,0,4,-7.354350226773229,0,True,Moderate
VL_0171,311.04855703744767,4.138392884680147,2,6,-7.944041008519261,0,True,Moderate
VL_0172,318.4189715034562,3.4217871359540637,3,4,-8.078967010683762,0,True,Moderate
VL_0173,392.2898290585896,3.1563016559278143,0,2,-7.105592739760243,0,True,Moderate
VL_0174,434.1151974816644,2.9061103081507165,3,6,-8.816333111111103,0,True,Moderate
VL_0175,427.6690799330019,1.8690531166999855,2,3,-7.369582638888891,0,True,Moderate
VL_0176,482.71832490360237,2.578987384699839,3,6,-8.671113388888884,0,True,Moderate
VL_0177,401.3001891877907,0.4605647787069218,2,2,-7.373768730158734,0,True,Moderate
VL_0178,545.3534077157317,2.852490559807875,2,8,-10.05072696825397,1,True,Strong
VL_0179,373.5343166762044,1.5171133392736238,3,3,-7.30550942460318,0,True,Moderate
VL_0180,672.0169166589619,1.3446160241763436,2,6,-9.419776666666657,1,True,Strong
VL_0181,462.56673477650065,3.2698412267302177,3,4,-8.629475920634915,0,True,Moderate
VL_0182,314.2842443583718,5.088003429516899,2,5,-7.95302864740815,1,True,Moderate
VL_0183,292.91075019388876,4.377474909003469,0,6,-7.426454893439895,0,True,Moderate
VL_0184,448.24724152431855,0.6442490945652346,1,1,-8.283365507936498,0,True,Moderate
VL_0185,377.6537214674149,1.5155577951444936,3,5,-8.180893007936511,0,True,Moderate
VL_0186,471.4000494092092,4.411156781982324,2,7,-8.535484952380946,0,True,Moderate
VL_0187,447.32376245735446,1.5262689096925355,3,6,-8.720852277777768,0,True,Moderate
VL_0188,392.7171087343127,2.663050275004463,1,6,-7.621260119630371,0,True,Moderate
VL_0189,315.3206281931595,3.8250781485368277,2,7,-7.863688357725611,0,True,Moderate
VL_0190,248.51527753141355,1.547483317704547,0,4,-6.673320173520924,0,True,Weak
VL_0191,355.3485047932979,3.15806325921894,1,3,-6.704672954045962,0,True,Weak
VL_0192,485.63987943234724,0.9989617576226935,1,8,-8.368144999999995,0,True,Moderate
VL_0193,421.4093744130204,2.0979485340731796,0,4,-7.258344715950717,0,True,Moderate
VL_0194,275.4261221288012,3.4796729012138057,4,5,-8.217674455128208,0,True,Moderate
VL_0195,417.3180925851182,0.610509399702496,6,5,-8.078271924603177,1,True,Moderate
VL_0196,438.53173797288366,3.6607121069405983,4,3,-8.753884984126977,0,True,Moderate
VL_0197,311.6142563798867,2.970543301609978,3,9,-8.141564113858365,0,True,Moderate
VL_0198,415.3725105945528,3.8287349316257218,1,8,-7.44696806118881,0,True,Moderate
VL_0199,405.8208718446,3.335871201096992,4,6,-8.199453383699636,0,True,Moderate
VL_0200,285.7029702169377,5.046210644960766,2,3,-7.424257018620274,1,True,Moderate
VL_0201,435.77873603482834,3.187836753971861,3,5,-8.748211753968247,0,True,Moderate
VL_0202,456.07845263682344,2.355891688312121,2,5,-8.61503227777777,0,True,Moderate
VL_0203,508.3051243175277,3.183446254548426,0,5,-9.59819701082251,1,True,Strong
VL_0204,505.3802052034903,3.814947043554582,2,3,-9.911864746031746,1,True,Strong
VL_0205,262.2330632042909,3.0732901054885566,2,7,-7.863086492646245,0,True,Moderate
VL_0206,306.21749600848773,3.0608875368058235,3,3,-7.432740117826622,0,True,Moderate
VL_0207,451.503526720866,1.9470124682898668,1,0,-8.274184447330436,0,True,Moderate
VL_0208,451.37859509122086,2.0056486236735775,0,6,-8.383993661616152,0,True,Moderate
VL_0209,451.5047686306048,0.8960920923004596,1,6,-8.463029174603165,0,True,Moderate
VL_0210,785.2731490654721,5.624365114780409,3,4,-10.19831233333333,2,False,Strong
VL_0211,457.0890510693167,1.1342051469130725,1,5,-8.392059174603167,0,True,Moderate
VL_0212,513.5565640180599,1.960642203306139,1,9,-8.617597571428563,1,True,Moderate
VL_0213,495.40017634932025,1.9223891016462038,2,5,-9.00611205555555,0,True,Strong
VL_0214,465.1391251305798,4.342386565416662,5,4,-8.678523484126977,0,True,Moderate
VL_0215,368.47307553596545,2.5575754825619583,4,3,-7.476343490842495,0,True,Moderate
VL_0216,475.89692204932675,4.8716131090106005,2,6,-8.637491650793645,0,True,Moderate
VL_0217,322.71747854624283,1.989764063634197,2,2,-7.177032067460322,0,True,Moderate
VL_0218,376.31813932599914,3.418491243335703,5,6,-8.347860050366304,0,True,Moderate
VL_0219,351.46364521708966,1.746979420110364,1,6,-7.147183354978358,0,True,Moderate
VL_0220,408.18741393863223,6.217723691660082,2,6,-7.70635246306471,1,True,Moderate
VL_0221,631.4658566673509,1.2186023714557308,1,5,-9.445461666666656,1,True,Strong
VL_0222,213.2734807408252,3.4647310653405414,3,3,-6.320746895604393,0,True,Weak
VL_0223,468.62601903745133,3.950665321398148,0,4,-8.464548272727265,0,True,Moderate
VL_0224,238.72841288103484,3.6206986461772472,0,4,-6.856657758519258,0,True,Weak
VL_0225,352.80681342105663,2.7220685116834376,2,5,-7.765575722804974,0,True,Moderate
VL_0226,508.8950596967366,2.805268950399861,1,4,-9.61015651082251,1,True,Strong
VL_0227,406.42800190954625,3.0657172079686643,1,4,-7.420413394522144,0,True,Moderate
VL_0228,292.2255222070694,2.779496997557267,2,5,-8.043861246614497,0,True,Moderate
VL_0229,328.4696290740032,4.445818675192364,1,5,-7.427562512487515,0,True,Moderate
VL_0230,467.95977489346757,6.315784502387027,2,5,-8.561822174603165,1,True,Moderate
VL_0231,326.96333682828634,2.1637623224882496,2,7,-7.82442961963037,0,True,Moderate
VL_0232,421.6458589581975,0.945295530631383,3,3,-7.416176944444447,0,True,Moderate
VL_0233,404.55718399038136,2.8675769274731175,3,2,-7.453925427350433,0,True,Moderate
VL_0234,334.8399652394183,6.869564006481478,1,4,-7.202900786297037,1,True,Moderate
VL_0235,614.3944089325325,1.7944881480454038,1,4,-9.413491666666657,1,True,Strong
VL_0236,463.3919022318011,5.458675208166101,1,6,-8.386828558441549,1,True,Moderate
VL_0237,197.4857413342393,5.516551221114661,2,3,-5.552299871794872,1,True,Weak
VL_0238,418.64543147694275,2.169617637438008,2,5,-7.913271510683761,0,True,Moderate
VL_0239,333.8213535231612,3.8534746187779128,1,5,-7.5093717982018005,0,True,Moderate
VL_0240,485.2433334796224,5.442594934692807,1,5,-8.55954432034631,1,True,Moderate
VL_0241,320.74792615672993,2.4313083885187696,3,5,-8.256342272588522,0,True,Moderate
VL_0242,388.5263558533101,2.6946294598464573,1,3,-7.037392192141198,0,True,Moderate
VL_0243,450.49872789804573,2.1274786290770344,5,10,-8.3097056111111,0,True,Moderate
VL_0244,486.5755194170122,1.4778649039606997,2,5,-8.646814222222217,0,True,Moderate
VL_0245,279.9703592944224,2.0260836824009893,3,4,-8.049900522588526,0,True,Moderate
VL_0246,366.54987641590515,1.1640895998566152,0,4,-7.313133657647913,0,True,Moderate
VL_0247,352.50546888390437,3.051125202388839,3,7,-7.85836590750916,0,True,Moderate
VL_0248,334.6670767426288,1.8450401534120373,0,3,-6.469986189393947,0,True,Weak
VL_0249,576.5454240281097,3.3506788676861214,4,6,-10.535313333333336,1,True,Strong
VL_0250,440.4981710960956,0.6661565306945589,1,2,-8.316930507936497,0,True,Moderate
VL_0251,273.9116045664955,3.4963203483216856,2,4,-7.884537722804976,0,True,Moderate
VL_0252,491.7861947054776,4.250293442413387,3,4,-9.029844047619044,0,True,Strong
VL_0253,612.2156197012633,0.009396536142816991,1,4,-9.413491666666657,1,True,Strong
VL_0254,503.2465260551147,3.5610848547713583,0,8,-9.56744659018759,1,True,Strong
VL_0255,248.06300340459865,4.841503488709938,2,5,-7.454486952963703,0,True,Moderate
VL_0256,351.57659271337485,1.1855384719631918,2,8,-7.686765541486296,0,True,Moderate
VL_0257,526.6911149186623,5.508858580256555,2,5,-10.030269309523806,2,False,Strong
VL_0258,329.23305343812194,3.6285285140490675,0,7,-7.392557941058943,0,True,Moderate
VL_0259,444.38194281462285,1.9424822163623867,3,8,-8.583279293650785,0,True,Moderate
VL_0260,477.4634053429337,2.916346383513441,5,3,-8.584416341269836,0,True,Moderate
VL_0261,307.3069528421917,3.837490368782584,1,4,-7.401777226773229,0,True,Moderate
VL_0262,394.04746439382,3.1140080871186173,2,6,-8.125570841852593,0,True,Moderate
VL_0263,150.0,3.808133988669554,2,4,-5.380099833333335,0,True,Weak
VL_0264,297.561235866571,1.6189896103809507,6,4,-8.086169261904768,1,True,Moderate
VL_0265,374.743184860684,3.254041236054117,1,6,-7.642575619630369,0,True,Moderate
VL_0266,275.221681803515,0.8794282546425296,2,2,-7.332709944444454,0,True,Moderate
VL_0267,563.2411303931635,2.8331609079769495,1,4,-10.357809999999999,1,True,Strong
VL_0268,256.98586220393673,1.6441385378028155,1,2,-6.8359839365079385,0,True,Weak
VL_0269,355.9955513303016,1.8967050861153503,2,8,-7.524682902597407,0,True,Moderate
VL_0270,413.07405772860915,4.854139762815656,0,7,-7.422589652458653,0,True,Moderate
VL_0271,544.1273289066115,4.636965180891403,4,2,-10.228739087301587,1,True,Strong
VL_0272,256.41378488205606,3.9137071813607656,2,5,-7.752876528360528,0,True,Moderate
VL_0273,516.316375215496,1.3615308529911316,3,6,-9.102401222222214,1,True,Strong
VL_0274,401.0233061019587,2.525387325457797,1,7,-7.5481158339160865,0,True,Moderate
VL_0275,301.8491348952049,4.819646549968775,1,7,-7.461982818043072,0,True,Moderate
VL_0276,446.2103474263271,3.212575370459857,3,7,-8.625348388888883,0,True,Moderate
VL_0277,419.905969557347,6.478994309972541,2,6,-7.713380240842488,1,True,Moderate
VL_0278,339.97831228412053,3.5899767590915577,2,5,-7.91668812756688,0,True,Moderate
VL_0279,406.9802084990019,3.288073674735047,0,5,-7.462875394522143,0,True,Moderate
VL_0280,361.468640313824,2.536325303696248,1,8,-7.270464119630372,0,True,Moderate
VL_0281,411.3517345251248,3.2003113571734234,2,7,-7.848252788461539,0,True,Moderate
VL_0282,466.21306745210467,2.771295245429184,0,4,-8.409882772727265,0,True,Moderate
VL_0283,558.6016816145352,4.062163015032885,4,5,-10.369217182539682,1,True,Strong
VL_0284,276.2184501173151,4.435053475191876,5,8,-8.13314656623932,0,True,Moderate
VL_0285,613.3033374656267,1.8210158092380757,0,5,-9.445461666666656,1,True,Strong
VL_0286,204.79122004774982,1.003150569663333,0,2,-5.641860000000004,0,True,Weak
VL_0287,384.82149049644164,0.24569194034505504,6,3,-7.4130150079365125,1,True,Moderate
VL_0288,458.83172064845763,3.7619869903688157,0,7,-8.414299328282821,0,True,Moderate
VL_0289,428.0991867735033,1.3449500907391896,1,3,-7.975004611111108,0,True,Moderate
VL_0290,337.7300480179406,-0.2293358894287243,0,8,-7.314657990981247,0,True,Moderate
VL_0291,379.1877749642725,3.582867906796446,3,1,-7.539195546398049,0,True,Moderate
VL_0292,350.69990653411674,6.739499276149186,2,5,-7.531872357725611,1,True,Moderate
VL_0293,341.0635243055788,2.99089363269016,3,3,-7.376264855921862,0,True,Moderate
VL_0294,484.9602097021025,4.257736161677463,5,5,-8.821979079365073,0,True,Moderate
VL_0295,435.7015485965047,3.1227440378213474,5,5,-8.843960341269835,0,True,Moderate
VL_0296,330.7090404739346,2.851665520213286,2,2,-7.357173617826621,0,True,Moderate
VL_0297,489.95998754332504,4.378614724481653,3,7,-8.98168318253968,0,True,Moderate
VL_0298,430.72995208766093,2.564588183717023,6,2,-8.34212754639804,1,True,Moderate
VL_0299,481.28621188389604,3.4010884711078546,3,4,-8.688795365079361,0,True,Moderate
VL_0300,462.96288419236123,3.4825467092940205,2,5,-8.67557675396825,0,True,Moderate
VL_0301,317.10049890779277,1.9978643195354269,3,4,-7.97202148412699,0,True,Moderate
VL_0302,343.981895980303,4.488063524304784,1,4,-7.35342930613831,0,True,Moderate
VL_0303,474.7293605123262,2.737560364956887,1,5,-8.489630106060599,0,True,Moderate
VL_0304,461.0370265433465,1.866382260760733,4,4,-8.657227841269833,0,True,Moderate
VL_0305,397.90984060358517,3.804764765355605,0,4,-7.391981333916085,0,True,Moderate
VL_0306,411.7327383308782,1.652298027313444,6,5,-8.03377011904762,1,True,Moderate
VL_0307,527.7664895788425,3.042271736053692,2,7,-9.971040468253971,1,True,Strong
VL_0308,340.842861116417,2.9863215050336946,3,6,-8.237410939255192,0,True,Moderate
VL_0309,454.7097381170038,4.628843348747367,2,6,-8.72897253968253,0,True,Moderate
VL_0310,379.78073475661057,3.712047349319929,0,8,-7.48259266724942,0,True,Moderate
VL_0311,378.23187967727796,2.962459561882284,1,5,-7.594903786297038,0,True,Moderate
VL_0312,509.877685198719,4.226649448800431,4,2,-9.736047285714285,1,True,Strong
VL_0313,482.54163489880295,5.0853113235259695,3,4,-8.630995817460311,1,True,Moderate
VL_0314,481.35096360006384,3.8367154595277935,3,6,-8.778054531746028,0,True,Moderate
